"TIENDA_ID","PLAZA_CVE","NIVELSOCIOECONOMICO_DES","ENTORNO_DES","MTS2VENTAS_NUM","PUERTASREFRIG_NUM","CAJONESESTACIONAMIENTO_NUM","LATITUD_NUM","LONGITUD_NUM","SEGMENTO_MAESTRO_DESC","LID_UBICACION_TIENDA","DATASET","direccion","codigo_postal","estado"
834,1,"C","Hogar",101.33,13,0,25.70647,-100.22508,"Hogar Reunión","UT_DENSIDAD","TRAIN","Tritón, Nueva Linda Vista, Guadalupe, Nuevo León, 67129, México","67129","Nuevo León"
792,1,"C","Peatonal",87.25,0,0,25.67762,-100.25978,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN","207, Calle Miguel Hidalgo y Costilla, Centro, Guadalupe, Nuevo León, 64590, México","64590","Nuevo León"
164,1,"CD","Base",18.72,12,9,25.73369,-100.19908,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Oxxo, Ignacio Sepúlveda, Apodaca, Nuevo León, 66478, México","66478","Nuevo León"
231,1,"CD","Hogar",116.5,13,9,25.70295,-100.25852,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Oxxo, Adolfo Duclós Salinas, Industria del Hierro, Guadalupe, Nuevo León, 66491, México","66491","Nuevo León"
823,1,"C","Hogar",108.66,0,0,25.66404,-100.23363,"Hogar Reunión","UT_DENSIDAD","TRAIN","San Luis Potosí, Vivienda Popular, Guadalupe, Nuevo León, 67160, México","67160","Nuevo León"
824,1,"C","Hogar",97.92,0,0,25.7371,-100.16613,"Hogar Reunión","UT_DENSIDAD","TRAIN","Desierto de Sonora, Balcones de Huinalá, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
182,1,"BC","Hogar",111.9,13,5,25.68312,-100.2139,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida Adolfo López Mateos, Guadalupe, Nuevo León, 67118, México","67118","Nuevo León"
223,1,"BC","Hogar",128.96,12,9,25.66976,-100.23605,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Avenida Pablo Livas, Las Villas, Guadalupe, Nuevo León, 67160, México","67160","Nuevo León"
828,1,"C","Hogar",0,0,0,25.6678,-100.2209,"Hogar Reunión","UT_DENSIDAD","TRAIN","Amapola, Parques de Guadalupe, Guadalupe, Nuevo León, 67180, México","67180","Nuevo León"
832,1,"C","Hogar",66.04,0,0,25.66925,-100.237,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida las Villas, Las Villas, Guadalupe, Nuevo León, 67160, México","67160","Nuevo León"
245,1,"D","Hogar",116,10,8,25.73065,-100.18657,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Calle Antiguo Camino a Huinalá, Apodaca, Nuevo León, 66634, México","66634","Nuevo León"
188,1,"BC","Receso",95.3,13,7,25.68763,-100.24615,"Parada Técnica","UT_GAS_URBANA","TRAIN","Oxxo, Avenida Doctor Ignacio Morones Prieto, Guadalupe, Nuevo León, 67138, México","67138","Nuevo León"
191,1,"CD","Receso",131.5,11,0,25.69273,-100.24576,"Clásico","UT_GAS_URBANA","TRAIN","7-Eleven, Avenida Las Américas, Valles de Linda Vista, Guadalupe, Nuevo León, 67138, México","67138","Nuevo León"
847,1,"C","Hogar",100.4,13,0,25.71567,-100.1601,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Hacienda Las Margaritas, Apodaca, Nuevo León, 66647, México","66647","Nuevo León"
193,1,"CD","Hogar",95.54,10,9,25.73871,-100.18913,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Avenida Héctor Caballero, Corporación Mitsuba de México S.A. de C.V., Apodaca, Nuevo León, 66634, México","66634","Nuevo León"
212,1,"CD","Base",134.24,12,10,25.69344,-100.1831,"Parada Técnica","UT_CARRETERA_GAS","TRAIN","Oxxo, Boulevard Miguel de la Madrid, Guadalupe, Nuevo León, 67116, México","67116","Nuevo León"
211,1,"C","Hogar",127.62,12,11,25.74447,-100.17476,"Hogar Reunión","UT_DENSIDAD","TRAIN","Comida Coreana, Baja California, Apodaca, Nuevo León, 66645, México","66645","Nuevo León"
199,1,"CD","Base",113,11,11,25.72332,-100.19058,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Oxxo, Avenida Acapulco, Guadalupe, Nuevo León, 67112, México","67112","Nuevo León"
873,1,"C","Receso",58.12,0,0,25.69741,-100.13975,"Parada Técnica","UT_TRAFICO_VEHICULAR","TRAIN","Calle Valle De Los Nardos, Parque Industrial FINSA Guadalupe-Aeropuerto, Guadalupe, Nuevo León, 66647, México","66647","Nuevo León"
254,1,"C","Hogar",113,12,7,25.66872,-100.2344,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Oxxo, Avenida Pablo Livas, Las Villas, Guadalupe, Nuevo León, 67160, México","67160","Nuevo León"
735,1,"C","Hogar",83.57,12,0,25.71611,-100.18296,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida Mixcoac, Mixcoac, Guadalupe, Nuevo León, 67112, México","67112","Nuevo León"
746,1,"C","Hogar",104.1,15,0,25.6867,-100.19352,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida General Plutarco Elías Calles, Guadalupe, Nuevo León, 67169, México","67169","Nuevo León"
141,1,"BC","Hogar",98.5,11,6,25.68098,-100.23912,"Hogar Reunión","UT_DENSIDAD","TRAIN","Agua Roja, La Fuente, Guadalupe, Nuevo León, 67150, México","67150","Nuevo León"
259,1,"C","Base",99.08,10,0,25.67765,-100.2596,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN","123, Calle Miguel Hidalgo y Costilla, Centro, Guadalupe, Nuevo León, 64590, México","64590","Nuevo León"
753,1,"C","Hogar",103.64,14,0,25.72788,-100.18008,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida Mixcoac, Cañada Blanca, Guadalupe, Nuevo León, 66648, México","66648","Nuevo León"
754,1,"C","Hogar",119.75,15,0,25.71732,-100.19217,"Hogar Reunión","UT_DENSIDAD","TRAIN","Calle Premier, Guadalupe, Nuevo León, 67112, México","67112","Nuevo León"
145,1,"BC","Hogar",112.5,13,6,25.66404,-100.21449,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Emiliano Zapata, Guadalupe Victoria, Guadalupe, Nuevo León, 67180, México","67180","Nuevo León"
765,1,"C","Hogar",94.42,13,0,25.69325,-100.23738,"Oficinistas","UT_DENSIDAD","TRAIN","14 de Mayo, Riberas de la Purisima, Guadalupe, Nuevo León, 67138, México","67138","Nuevo León"
766,1,"C","Base",118.52,15,0,25.72372,-100.14054,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Accadia Residencial, Apodaca, Nuevo León, 66647, México","66647","Nuevo León"
395,1,"C","Hogar",79.55,10,4,25.67661,-100.24879,"Hogar Reunión","UT_DENSIDAD","TRAIN","820, Calle Guadalupe, Centro, Guadalupe, Nuevo León, 64590, México","64590","Nuevo León"
253,1,"C","Hogar",117,12,11,25.72968,-100.17269,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Avenida Los Suizos, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
769,1,"C","Base",108.8,15,0,25.69461,-100.17078,"Oficinistas","UT_TRAFICO_VEHICULAR","TRAIN","Boulevard Miguel de la Madrid, Guadalupe, Nuevo León, 67116, México","67116","Nuevo León"
152,1,"BC","Hogar",102.1,13,8,25.66861,-100.24023,"Hogar Reunión","UT_DENSIDAD","TRAIN","La Quinta, Guadalupe, Nuevo León, 67160, México","67160","Nuevo León"
783,1,"C","Hogar",114.47,14,0,25.6989,-100.1506,"Hogar Reunión","UT_DENSIDAD","TRAIN","Calle José María Coss, Guadalupe, Nuevo León, 66647, México","66647","Nuevo León"
789,1,"C","Hogar",100.7,0,0,25.71404,-100.17443,"Hogar Reunión","UT_DENSIDAD","TRAIN","Miguel Hidalgo y Costilla, San Miguel, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
248,1,"CD","Base",100.28,13,7,25.70751,-100.19946,"Oficinistas","UT_GAS_URBANA","TRAIN","Oxxo, Avenida Adolfo Ruíz Cortines, Guadalupe, Nuevo León, 67112, México","67112","Nuevo León"
156,1,"BC","Hogar",115,11,0,25.67567,-100.22221,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida Benito Juárez, Guadalupe Chavez, Guadalupe, Nuevo León, 67180, México","67180","Nuevo León"
247,1,"D","Hogar",104.6,13,10,25.69494,-100.21911,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida San Rafael, San Rafael, Guadalupe, Nuevo León, 67118, México","67118","Nuevo León"
474,1,"C","Hogar",115.79,13,11,25.71698,-100.13154,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Avenida Lomas de México, PRADERAS DE HUINALA, Apodaca, Nuevo León, 66647, México","66647","Nuevo León"
453,1,"C","Base",107.02,13,8,25.74442,-100.16092,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Oxxo, Apodaca a Villa Juárez, Apodaca, Nuevo León, 66644, México","66644","Nuevo León"
455,1,"C","Hogar",119.51,13,7,25.73055,-100.18982,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida Guadalajara, Josefa Zozaya, Guadalupe, Apodaca, Nuevo León, 66634, México","66634","Nuevo León"
366,1,"C","Hogar",100,10,7,25.66606,-100.26935,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Oxxo, Valle de México, Valles de Chapultepec, Guadalupe, Nuevo León, 67140, México","67140","Nuevo León"
365,1,"C","Base",97.54,13,5,25.6751,-100.21091,"Oficinistas","UT_TRAFICO_PEATONAL","TRAIN","Oxxo, Fresno, Chulavista, Guadalupe, Nuevo León, 67180, México","67180","Nuevo León"
456,1,"C","Hogar",127.9,13,10,25.74066,-100.1661,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Antiguo Camino Monterrey - Huinalá, Centro de Huinalá, Apodaca, Nuevo León, 66644, México","66644","Nuevo León"
457,1,"C","Hogar",81.3,10,7,25.73088,-100.15723,"Hogar Reunión","UT_DENSIDAD","TRAIN","Prolongación Rodesia, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
458,1,"C","Hogar",101.46,13,5,25.70524,-100.20732,"Hogar Reunión","UT_DENSIDAD","TRAIN","Calle el Fortín, Villa de San Miguel, Guadalupe, Nuevo León, 67118, México","67118","Nuevo León"
361,1,"C","Hogar",93,12,5,25.71936,-100.16773,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Camino a los Magueyes, Valle de San Miguel, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
464,1,"C","Hogar",138.92,13,6,25.70318,-100.24274,"Hogar Reunión","UT_DENSIDAD","TRAIN","Doctor Román de los Santos, La Luz, Guadalupe, Nuevo León, 66494, México","66494","Nuevo León"
358,1,"C","Base",93,10,11,25.70128,-100.16365,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Oxxo, Lasso, Privadas de San Miguel, Guadalupe, Nuevo León, 66647, México","66647","Nuevo León"
447,1,"C","Hogar",83.9,13,5,25.73034,-100.16336,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Avenida Rodesia del Norte, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
356,1,"C","Hogar",77,10,8,25.66098,-100.26814,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","2813, Prolongacíon Churubusco, Valles de Chapultepec, Guadalupe, Nuevo León, 67140, México","67140","Nuevo León"
355,1,"C","Hogar",90,10,6,25.66743,-100.25439,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","La Pastora, Guadalupe, Nuevo León, 67174, México","67174","Nuevo León"
484,1,"C","Hogar",115.75,13,10,25.71093,-100.13501,"Hogar Reunión","UT_DENSIDAD","TRAIN","Lomas del Tíbet, Lomas de la Paz, Apodaca, Nuevo León, 66647, México","66647","Nuevo León"
493,1,"C","Base",119.41,13,9,25.68103,-100.25271,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Oxxo, Calle General Nicolás Bravo, La Huerta, Guadalupe, Nuevo León, 64590, México","64590","Nuevo León"
352,1,"C","Base",105,10,8,25.74532,-100.17814,"Parada Técnica","UT_GAS_URBANA","TRAIN","Oxxo, Calle 21 de Marzo, Apodaca, Nuevo León, 66645, México","66645","Nuevo León"
351,1,"C","Base",93,10,7,25.67929,-100.26519,"Oficinistas","UT_GAS_URBANA","TRAIN","Oxxo, Avenida Benito Juárez, Centro, Guadalupe, Nuevo León, 64590, México","64590","Nuevo León"
495,1,"C","Base",115.7,13,11,25.66923,-100.23264,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Tamaulipas, Vivienda Popular, Guadalupe, Nuevo León, 67160, México","67160","Nuevo León"
503,1,"C","Hogar",81.59,11,8,25.67292,-100.25155,"Hogar Reunión","UT_DENSIDAD","TRAIN","Marte, Guadalupe, Nuevo León, 67176, México","67176","Nuevo León"
348,1,"C","Hogar",100,10,11,25.69414,-100.1901,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Avenida Principal, Nuevo San Miguel, Guadalupe, Nuevo León, 67116, México","67116","Nuevo León"
506,1,"C","Hogar",105.66,13,8,25.70051,-100.18745,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida Jardines del Río, Jardines del Río, Guadalupe, Nuevo León, 67116, México","67116","Nuevo León"
401,1,"C","Hogar",92.52,12,9,25.71205,-100.16304,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Carretera San Miguel, Apodaca, Nuevo León, 66647, México","66647","Nuevo León"
389,1,"BC","Base",98.08,12,9,25.74648,-100.19411,"Hogar Reunión","UT_GAS_URBANA","TRAIN","Oxxo, Hacienda San Javier, Apodaca, Nuevo León, 66634, México","66634","Nuevo León"
402,1,"C","Hogar",103.27,13,9,25.72369,-100.16661,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Avenida El Campanario, El Campanario, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
404,1,"C","Base",112.87,13,9,25.67993,-100.25752,"Oficinistas","UT_DENSIDAD","TRAIN","Calle Mier y Noriega, Centro, Guadalupe, Nuevo León, 64590, México","64590","Nuevo León"
406,1,"C","Hogar",76.69,10,5,25.6645,-100.26545,"Clásico","UT_DENSIDAD","TRAIN","La Herradura, Guadalupe, Nuevo León, 67140, México","67140","Nuevo León"
407,1,"C","Base",118.47,13,7,25.73733,-100.20671,"Oficinistas","UT_GAS_URBANA","TRAIN","Oxxo, Avenida Miguel Alemán, Apodaca, Nuevo León, 66478, México","66478","Nuevo León"
409,1,"C","Hogar",95.68,13,7,25.66723,-100.22505,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Oxxo, Avenida Pablo Livas, Camino Real, Guadalupe, Nuevo León, 67160, México","67160","Nuevo León"
411,1,"C","Hogar",109.85,13,9,25.70931,-100.1846,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Oxxo, Avenida Adolfo Ruíz Cortines, Guadalupe, Nuevo León, 67112, México","67112","Nuevo León"
417,1,"C","Base",95.22,12,8,25.66245,-100.23941,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","2309, Avenida Profesor Eloy Cavazos, Las Villas, Guadalupe, Nuevo León, 67160, México","67160","Nuevo León"
423,1,"C","Base",85.18,12,6,25.6728,-100.23769,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Oxxo, Avenida Las Torres, Tolteca, Guadalupe, Nuevo León, 67160, México","67160","Nuevo León"
635,1,"C","Base",120.27,14,0,25.6638,-100.25769,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","1250, Avenida Puesta del Sol, Puesta del Sol, Guadalupe, Nuevo León, 67174, México","67174","Nuevo León"
425,1,"C","Hogar",116.15,13,7,25.73241,-100.17578,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Selene, San Miguel 3°, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
427,1,"C","Hogar",122.63,13,9,25.73371,-100.18386,"Hogar Reunión","UT_DENSIDAD","TRAIN","Oxxo, Manuel Gonzáles Caballero, Deportivo Huinalá, Apodaca, Nuevo León, 66634, México","66634","Nuevo León"
431,1,"C","Hogar",119.24,13,8,25.66744,-100.2239,"Hogar Reunión","UT_DENSIDAD","TRAIN","Camino Real, Guadalupe Chavez, Guadalupe, Nuevo León, 67180, México","67180","Nuevo León"
433,1,"C","Base",127.4,13,10,25.70933,-100.23586,"Hogar Reunión","UT_DENSIDAD","TRAIN","1010, Avenida Uno, Central de Carga, Guadalupe, Nuevo León, 66494, México","66494","Nuevo León"
438,1,"C","Hogar",117.61,13,7,25.69605,-100.21036,"Hogar Reunión","UT_DENSIDAD","TRAIN","4036, Calle Andrés Quintana Roo, Nuevo San Rafael, Guadalupe, Nuevo León, 67118, México","67118","Nuevo León"
374,1,"C","Base",107.92,13,11,25.72258,-100.14044,"Hogar Reunión","UT_CARRETERA_GAS","TRAIN","Oxxo, Antiguo Camino Huinala-Villa Juárez, Campestre Huinalá, Apodaca, Nuevo León, 66647, México","66647","Nuevo León"
439,1,"C","Hogar",115.55,13,0,25.71549,-100.20702,"Hogar Reunión","UT_DENSIDAD","TRAIN","OXXO fortín, Alejandria, Pedregal de Linda Vista, Guadalupe, Nuevo León, 67112, México","67112","Nuevo León"
372,1,"CD","Hogar",80.56,12,11,25.65999,-100.23217,"Hogar Reunión","UT_TRAFICO_VEHICULAR","TRAIN","Oxxo, 15 de Mayo, Guadalupe, Nuevo León, 67170, México","67170","Nuevo León"
441,1,"CD","Hogar",111.48,13,8,25.72353,-100.17124,"Hogar Reunión","UT_DENSIDAD","TRAIN","Cobre, Rincón de San Miguel, Apodaca, Nuevo León, 66648, México","66648","Nuevo León"
446,1,"C","Hogar",126.8,13,9,25.68774,-100.18129,"Hogar Reunión","UT_DENSIDAD","TRAIN","Avenida General Plutarco Elías Calles, Guadalupe, Nuevo León, 67116, México","67116","Nuevo León"
612,1,"C","Hogar",101.06,12,0,25.74353,-100.17685,"Hogar Reunión","UT_DENSIDAD","TRAIN","Encino, Encinos Residencial, Apodaca, Nuevo León, 66645, México","66645","Nuevo León"
