id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta,indice_competencia_500m
6235093,19039462112002422001008154S5,7 ELEVEN SUC 0027 FLORIDA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,ANTONIO GAONA,CALLE,JOSÉ ALVARADO,CALLE,CIRIACO VÁZQUEZ,AVENIDA,JUNCO DE LA VEGA,1002.0,,,,,,FRACCIONAMIENTO,FLORIDA,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,192A,22,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.65993622,-100.29650787,2010-07,6
6235047,19039462112002512000008154S3,7 ELEVEN SUC 0028 URDIALES,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,PROFESOR JOSÉ SILVESTRE ARAMBERRI,CALLE,APAM,CALZADA,FRANCISCO I. MADERO,AVENIDA,GENERAL PABLO GONZÁLEZ GARZA,125.0,,,,,,COLONIA,MITRAS CENTRO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1173,34,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.68788436,-100.34246545,2010-07,10
6235062,19046462112001182000008154S1,7 ELEVEN SUC 0029 SAN NICOLAS DE LOS GARZA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,SAN NICOLÁS,CALLE,CERRO DEL TOPO,CALLE,CERRO DE SAN MIGUEL,CALLE,SIERRA PEÑA NEVADA,406.0,,,,,,FRACCIONAMIENTO,LAS PUENTES 2DO SECTOR,,,,,19,Nuevo León,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,0201,30,,EDGARDOA.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.74062031,-100.28895125,2010-07,6
6235099,19039462112006072001008154S4,7 ELEVEN SUC 0033 PLAZA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,GUADALUPE,CALLE,PLAZA MONTERO,CALLE,PLAZA GARIBALDI,AVENIDA,AVENIDA DEL ACUEDUCTO,2.0,,,,,,CIUDAD,SATELITE DEL SUR,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,3767,39,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.60412936,-100.27014711,2010-07,6
6235055,19039462112003862000008154S1,7 ELEVEN SUC 0034 SAN JOSE,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,SAN JOSÉ,AVENIDA,SAN JUAN DE LOS LAGOS,CALLE,LOS CEDROS,CALLE,OYAMEL,4202.0,,,,,,RESIDENCIAL,LOS CEDROS,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,0461,2,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.71734851,-100.36898479,2010-07,5
6235064,19046462112001072000008154S4,7 ELEVEN SUC 0035 PUENTES,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,LAS PUENTES,CALLE,SIERRA DEL PARRAL,CALLE,PICO DE SORATA,CALLE,SIERRA ALTAMIRA,800.0,,,,,,FRACCIONAMIENTO,LAS PUENTES,,,,,19,Nuevo León,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,017A,30,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.74539264,-100.2737068,2010-07,3
6235029,19026462112002122000008154S8,7 ELEVEN SUC 0036 OLIMPIA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,MIGUEL ALEMÁN,AVENIDA,APOLO,AVENIDA,OLIMPIA,CALLE,MARTE,4142.0,,,,,,RESIDENCIAL,NUEVA LINDA VISTA,,,,,19,Nuevo León,26,Guadalupe,1,Guadalupe                                                                                                     ,1870,6,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.70653083,-100.22414495,2010-07,1
6235024,19046462112001542000008154S6,7 ELEVEN SUC 0037 ARBOLES,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,RÓMULO GARZA,AVENIDA,AVENIDA DEL PARAÍSO,AVENIDA,LOS ÁRBOLES,CALLE,JAZMINES,401.0,,,,,,FRACCIONAMIENTO,INDUSTRIAS DEL VIDRIO,,,,,19,Nuevo León,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,1178,29,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.72097329,-100.23217527,2010-07,2
6234954,19039462112005902000008154S3,7 ELEVEN SUC 0038 NUEVA INGLATERRA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,ADOLFO RUÍZ CORTINES,CALLE,NUEVA INGLATERRA,CALLE,SAN FELIPE,CALLE,NUEVA YORK,421.0,,,,,,RESIDENCIAL,LINCOLN,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,4680,29,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.70907493,-100.3575746,2010-07,4
6234937,19039462112002692001008154S3,7 ELEVEN SUC 0039 EMILIO CARRANZA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLEJON,MARIANO ESCOBEDO,CALLE,DEMOCRACIA,CALLE,EMILIO CARRANZA,OTRO(ESPECIFIQUE),NINGUNO,1201.0,,,,,,COLONIA,TREVIÑO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1277,31,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.68559155,-100.31005501,2010-07,13
6235115,19039462112002902000008154S6,7 ELEVEN SUC 0044 AZTLAN,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,PROLONGACION,AZTLÁN,CALLE,HERMANOS SÁNCHEZ MADARIAGA,CALLE,LICENCIADO JULIO CAMELO,CALLE,ALFREDO V. BONFIL,7909.0,,,,,,COLONIA,VALLE DE SANTA LUCIA,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,3381,31,,EDGAR.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.74879656,-100.36170149,2010-07,6
6235032,19039462112005472001008154S7,7 ELEVEN SUC 0047 AZUETA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,JOSÉ ALVARADO,CALLE,CAPITÁN MARIANO AZUETA,CALLE,MACARIO PÉREZ,CALLE,AMECAMECA,2601.0,,,,,,FRACCIONAMIENTO,VILLA FLORIDA,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1794,18,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.66008672,-100.2872563,2010-07,5
6234936,19039462112003232001008154S7,7 ELEVEN SUC 0048 VALLES,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,CIUDAD VALLES,AVENIDA,ADOLFO RUÍZ CORTINES,CALLE,CHARCAS,CALLE,PEÑÓN BLANCO,300.0,,,,,,COLONIA,MITRAS CENTRO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,089A,20,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.70462855,-100.34513235,2010-07,9
6235094,19039462112004562000008154S6,7 ELEVEN SUC 0049 GIGANTE,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,FIDEL VELÁZQUEZ,CALLE,GOLFO PÉRSICO,CALLE,RÍO CONCHOS,CALLE,MAR CARIBE,1513.0,L 3-E,,,,,FRACCIONAMIENTO,BERNARDO REYES,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,0546,25,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.71933059,-100.33982375,2010-07,7
6235070,19026462112001982000008154S6,7 ELEVEN SUC 0050 AMPLIA VISTA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,MIGUEL ALEMÁN,CALLE,AMPLIA VISTA,CALLE,RAMÓN LOZANO,CALLE,VISTA FRANCA,501.0,,,,,,FRACCIONAMIENTO,LOLITA,,,,,19,Nuevo León,26,Guadalupe,1,Guadalupe                                                                                                     ,0196,25,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.69123908,-100.24967865,2010-07,2
6234834,19039462112004642001008154S6,7 ELEVEN SUC 0051 MADERO,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALZADA,FRANCISCO I. MADERO,CALLE,PORFIRIO DÍAZ,PRIVADA,P. FLORIDA,CALLE,JOSÉ MARÍA ARTEAGA,1250.0,,,,,,COLONIA,CENTRO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1474,46,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.68502355,-100.32430065,2010-07,10
6235053,19039462112003112001008154S1,7 ELEVEN SUC 0053 VICENTE SUAREZ,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALZADA,FRANCISCO I. MADERO,CALLE,AGUSTÍN MELGAR,CALLE,VICENTE SUÁREZ,CALLE,JOSÉ MARÍA ARTEAGA,1980.0,,,,,,COLONIA,OBRERA,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1582,47,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.68184275,-100.29542024,2010-07,12
6234939,19039462112003582001008154S5,7 ELEVEN SUC 0054 JESUS M. GARZA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,JESÚS M. GARZA,CALLE,JOAQUÍN GARZA LEAL,AVENIDA,FÉLIX URESTI GÓMEZ,CALLE,PLAN DE AYUTLA,1522.0,,,,,,COLONIA,TERMINAL,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,4572,27,,EDGARDO.ALVAFREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.68735388,-100.29649295,2010-07,8
6235078,19039462112005062000008154S6,7 ELEVEN SUC 0057 MATAMOROS,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,MARIANO MATAMOROS,CALLE,JUAN ALDAMA,CALLE,JULIÁN VILLAGRÁN,CALLE,JUAN IGNACIO RAMÓN,525.0,,,,,,COLONIA,CENTRO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1671,19,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.6712726,-100.32362657,2010-07,11
6235060,19039462112002712001008154S9,7 ELEVEN SUC 0059 LEON GUZMAN,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,LEÓN GUZMÁN,CALLE,ANTIGUA CARRETERA NACIONAL,CALLE,QUINTANA ROO,OTRO(ESPECIFIQUE),NINGUNO,1705.0,,,,,,COLONIA,NUEVO REPUEBLO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1760,29,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.66126489,-100.29903451,2010-07,6
6234946,19039462112003242001008154S6,7 ELEVEN SUC 0065 WASHINGTON,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,DOCTOR JULIÁN VILLARREAL,CALLE,MODESTO ARREOLA,CALLE,WASHINGTON,CALLE,ÁLVARO OBREGÓN,240.0,,,,,A,COLONIA,MONTERREY CENTRO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1578,33,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.6733672,-100.30118682,2010-07,6
6234945,19039462112004392001008154S8,7 ELEVEN SUC 0066 ARTEAGA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,VICENTE GUERRERO,CALLE,JOSÉ MARÍA ARTEAGA,CALLE,CARLOS SALAZAR,AVENIDA,LICENCIADO BENITO JUÁREZ,174.0,,,,,,COLONIA,CENTRO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1510,20,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.68297371,-100.31249448,2010-07,18
6235054,19039462112003992001008154S6,7 ELEVEN SUC 0067 JUAN ESCUTIA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,CRISTÓBAL COLÓN,CALLE,BATALLÓN DE SAN BLAS,CALLE,JUAN ESCUTIA,CALLE,RAMÓN TREVIÑO,2119.0,,,,,,COLONIA,TERMINAL,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1309,13,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.68394852,-100.29393319,2010-07,10
6235061,19046462112001292001008154S8,7 ELEVEN SUC 0068 FRAY BARTOLOME,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,UNIVERSIDAD,CALLE,FRAY BARTOLOMÉ DE LAS CASAS,CALLE,FRAY TEMBLEQUE,CALLE,UNIVERSIDAD LABASTIDA,705.0,NTE,,,,,COLONIA,ROBLE DEL NORTE,,,,,19,Nuevo León,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,0184,42,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.74658292,-100.30040925,2010-07,3
6234941,19039462112005312000008154S5,7 ELEVEN SUC 0070 ZARAGOZA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,IGNACIO ZARAGOZA,CALLE,PROFESOR JOSÉ SILVESTRE ARAMBERRI,CALLE,MODESTO ARREOLA,CALLE,MARIANO ESCOBEDO,136.0,138,,,,,COLONIA,CENTRO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1544,13,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.67502682,-100.30959516,2010-07,14
6235051,19039462112003102001008154S2,7 ELEVEN SUC 0072 PABLO A. DE LA GARZA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,PABLO A. DE LA GARZA,CALLE,MIRTO,CALLE,CLAVEL,CALLE,PRIVADA NOGALAR,2600.0,,,,,,COLONIA,MODERNA,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,107A,27,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.69653449,-100.28726211,2010-07,2
6234940,19046462112001582000008154S2,7 ELEVEN SUC 0073 CHURUBUSCO,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,LICENCIADO ADOLFO RUÍZ CORTINES,CALLE,PEDRO S. TIJERINA,CALLE,ISIDORO GARZA GARCÍA,CALLE,CRISA,102.0,,,,,,FRACCIONAMIENTO,INDUSTRIAS DEL VIDRIO,,,,,19,Nuevo León,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,0381,31,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.70324357,-100.26767345,2010-07,2
6235034,19026462112001382000008154S9,7 ELEVEN SUC 0074 ESPIRITU SANTO,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,GENERAL LÁZARO CÁRDENAS,CALLE,ESPÍRITU SANTO,CALLE,PUEBLA,OTRO(ESPECIFIQUE),NINGUNO,807.0,,,,,,COLONIA,IGNACIO ZARAGOZA,,,,,19,Nuevo León,26,Guadalupe,1,Guadalupe                                                                                                     ,0340,33,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.68370812,-100.23053392,2010-07,5
6235031,19026462112001972000008154S7,7 ELEVEN SUC 0076 AZTECA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,TEPANECA,AVENIDA,AZTECA,CALLE,CHALCA,CALLE,YAQUI,495.0,-1,,,,,FRACCIONAMIENTO,AZTECA,,,,,19,Nuevo León,26,Guadalupe,1,Guadalupe                                                                                                     ,0321,1,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.6842194,-100.24358542,2010-07,4
6234950,19019462112000642001008154S2,7 ELEVEN SUC 0083 VASCONCELOS,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,JOSÉ VASCONCELOS,CALLE,RÍO RÓDANO,CALLE,RÍO SUCHIATE,CALLE,RÍO TAJO,220.0,,,,,,COLONIA,DEL VALLE,,,,,19,Nuevo León,19,San Pedro Garza García,1,San Pedro Garza García                                                                                        ,0168,29,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.65241106,-100.37816306,2010-07,2
6234926,19039462112005052000008154S7,7 ELEVEN SUC 0089 UXMAL,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,HUASTECA,CALLE,ZAPOTECA,CALLE,NINGUNO,CALLE,NINGUNO,405.0,,,,,,COLONIA,UNIDAD MODELO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,0279,19,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.73951285,-100.35443674,2010-07,4
6235046,19039462112005322000008154S4,7 ELEVEN SUC 0100 MATEHUALA,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,CALLE,MATEHUALA,AVENIDA,PASEO DE LOS LEONES,CALLE,ENSENADA,CALLE,MAZAPIL,103.0,,,,,,CIUDAD INDUSTRIAL,MITRAS CENTRO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1173,27,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.69605938,-100.34306308,2010-07,8
6235049,19039462112003852001008154S2,7 ELEVEN SUC 0107 GUERRERO,7-ELEVEN MEXICO SA DE CV,462112,Comercio al por menor en minisupers,0 a 5 personas,AVENIDA,VICENTE GUERRERO,CALLE,GUSTAVO A. MADERO,CALLE,PROGRESO,CALLE,HERMENEGILDO GALEANA,1723.0,,,,,,COLONIA,TREVIÑO,,,,,19,Nuevo León,39,Monterrey,1,Monterrey                                                                                                     ,1262,7,,EDGARDO.ALVAREZ@7-ELEVEN.COM.MX,WWW.7-ELEVEN.COM.MX,Fijo,25.69159823,-100.31119818,2010-07,2
